Code,Faction,Class,KB,D,HK,DD,HD,OP,VP,Honor,Win,Lose,Rol,BE
TK1,Alliance,Death Knight,6,3,58,25925,11314,4,444,554,1,,dps,
TK1,Alliance,Mage,6,2,57,28438,5258,1,120,251,1,,dps,
TK1,Alliance,Druid,8,3,55,45584,7932,,80,547,1,,dps,
TK1,Alliance,Shaman,0,0,59,7664,54796,,0,405,1,,heal,
TK1,Horde,Warrior,2,6,12,32693,7929,,20,185,,1,dps,
TK1,Alliance,Paladin,8,0,63,36252,11032,,80,413,1,,dps,
TK1,Alliance,Druid,0,0,63,519,112000,,0,563,1,,heal,
TK1,Horde,Warlock,0,7,11,26600,16275,,0,183,,1,dps,
TK1,Horde,Mage,0,8,11,29222,19680,2,70,183,,1,dps,
TK1,Horde,Paladin,1,8,13,30888,4536,2,48,187,,1,dps,
TK1,Horde,Demon Hunter,3,6,12,53560,3941,2,102,185,,1,dps,
TK1,Horde,Shaman,1,7,13,4277,26203,6,195,187,,1,heal,
TK1,Horde,Hunter,3,4,14,55258,1439,1,142,189,,1,dps,
TK1,Alliance,Warlock,7,2,53,30572,25501,2,274,396,1,,dps,
TK1,Alliance,Warrior,12,1,59,50490,11310,,120,555,1,,dps,
TK1,Horde,Demon Hunter,4,7,11,44185,4955,2,96,183,,1,dps,
TK1,Alliance,Paladin,3,3,62,21305,5853,3,271,561,1,,dps,
TK1,Horde,Monk,0,4,11,182,19596,3,145,183,,1,heal,
TK1,Horde,Warlock,0,6,12,7665,7230,1,72,185,,1,dps,
TK1,Alliance,Rogue,12,0,63,40777,2773,,120,413,1,,dps,
TK2,Alliance,Warrior,7,3,39,47600,15357,2,416,562,1,,dps,
TK2,Alliance,Druid,0,0,40,727,98081,,0,789,1,,heal,
TK2,Horde,Monk,0,4,11,4183,77442,1,17,157,,1,heal,
TK2,Horde,Death Knight,1,3,14,36888,7085,2,102,163,,1,dps,
TK2,Horde,Druid,1,7,9,43025,5737,,10,153,,1,dps,
TK2,Alliance,Paladin,7,0,40,79804,11908,,70,564,1,,dps,
TK2,Horde,Shaman,0,3,9,6092,28164,2,194,153,,1,heal,
TK2,Alliance,Warrior,9,2,38,58892,13942,3,430,784,1,,dps,
TK2,Alliance,Hunter,1,3,35,30043,1733,2,221,551,1,,dps,
TK2,Horde,Warlock,1,1,10,54384,15453,,10,145,,1,dps,
TK2,Horde,Warrior,4,6,13,51673,3985,1,92,161,,1,dps,
TK2,Horde,Warrior,1,4,14,43972,21916,,10,163,,1,dps,
